rank,username,centrality
1,bmgazette,0.9332139666231719
2,doddysgal75,0.17966237924995512
3,flyWSA,0.17966119878456369
4,westparkcity,0.17965962278753886
5,WestSydCity,0.1796591091273994
6,ScottMorrisonMP,2.3269221265235842e-06
7,abc730,1.520475065143713e-06
8,Greens,1.5204747703396558e-06
9,araluenvalley,1.5204743678835396e-06
10,VoteSustainable,1.5204725511743765e-06
11,smh,1.2390157678062261e-06
12,InfraAust,1.198356165665457e-06
13,IanVerrender,1.1983561126829452e-06
14,jhayne93,1.1983559294066763e-06
15,npomalley,1.1983557626467724e-06
16,abcnews,1.1983551924954011e-06
17,JoshFrydenberg,1.1983551120137264e-06
18,GladysB,1.1983550761686742e-06
19,NSWDPIE_Water,1.1983550177575556e-06
20,p_hannam,1.1983549708958146e-06
21,AshleighRaper,1.1983546048782558e-06
22,pwhatch,1.1983543496595248e-06
23,sindark,1.1983532766849155e-06
24,MathiasCormann,1.1983524340681244e-06
25,AlanKohler,1.1983521144715426e-06
26,danilic,8.566619644162237e-07
27,MikeHudema,8.566609685964237e-07
28,pinkybarks,7.968480694179684e-07
29,JodiMcKayMP,7.871371070629569e-07
30,alexhart7,6.83713065649516e-07
31,sarina_andaloro,6.837123757152951e-07
32,ArcadisGlobal,6.082447994593192e-07
33,QandA,2.927260176949619e-07
34,LiberalAus,2.927234282600938e-07
35,Rawsa7,2.927217682824826e-07
36,AustralianLabor,2.927214067245564e-07
37,AndrewConstance,2.1311756165132073e-07
38,fns720,2.0316871571495966e-07
39,NSWDPIE,4.0662814019912896e-08
40,IntAirport,2.544158091738325e-12
41,NoBCA2,2.47726072100263e-12
42,crudeoilpeak,1.9524723533547713e-12
43,Linny57284055,1.8363237684663646e-12
44,brendan_galway,1.3957625973522776e-12
45,SeanKonkolicsAU,1.2982887319022075e-12
46,7NewsSydney,1.1139692599361221e-12
47,inframagoz,9.910075359817322e-13
48,JohnGrahamALP,9.352331426278183e-13
49,madwoman912,3.472349795015117e-13
50,Czokie,3.3101982642871095e-13
51,XE881,6.625218907787656e-14
52,AlanTudgeMP,2.4347617226097955e-15
53,VikasMittalACN,-2.2194039068275235e-13
54,craigthomler,-6.798653463563347e-13
55,JakeMcCallum_,-7.04991728898565e-13
56,JohnKeily1,-8.16987768727674e-13
57,HughGnu,-8.434137803780104e-13
58,Ross_Coster,-9.673605926761705e-13
59,tilly64,-1.6274510498769344e-12
60,SmartCities13,-1.632657403067546e-12
61,thomasmosca_,-1.82790528655935e-12
62,NobcaA,-2.0003584411246005e-12
63,bellfrog,-2.3468553528176935e-12
64,ga_richardson,-2.4907008866330153e-12
65,CommuterNick,-2.5800217178653636e-12
66,ArterraInt,-2.5973675902908933e-12
67,AccenturePubSvc,-1.3621941693593158e-07
68,Consultancy_au,-1.362194510045833e-07
69,PANYNJ,-1.3621991768779811e-07
70,swrighteconomy,-4.1727344155311476e-07
71,Politics_SMHAGE,-4.172771817169072e-07
72,dailytelegraph,-4.3269949057128747e-07
73,WendyfWilson,-5.01437668511776e-07
74,Kate3015,-5.014391804621384e-07
75,BSpider17,-5.176548079432886e-07
76,Meggone2,-5.17654882680277e-07
77,BrentToderian,-5.176554137398698e-07
78,the_female_lead,-5.176556142544043e-07
79,jacindaardern,-5.17656537308235e-07
80,RuralProNews,-5.176577646690224e-07
81,drianwright,-5.937310012190217e-07
82,LendleaseGroup,-9.988665787809872e-07
83,RobStokesMP,-9.98870970075416e-07
84,EltonConsulting,-1.2277465819316727e-06
85,WSROC_Australia,-1.2277471467817198e-06
86,Slugslime2,-1.227747357442124e-06
87,Trish4BlueMtns,-1.2277475180101592e-06
88,lewis66,-1.2277483534191e-06
89,grantshapps,-1.2277495905701629e-06
90,CrMarkGreenhill,-1.2277503973659922e-06
91,gwscommunity,-1.2277512857804398e-06
92,stemplemanmp,-1.227751412605187e-06
93,justinrfield,-1.4404146118302365e-06
94,Juanita_Phillip,-1.4404179264924732e-06
95,lel0601,-1.4404181835386278e-06
96,YouTube,-1.5287108473186264e-06
97,gscsydney,-1.5287136223880154e-06
98,bambul,-1.5835295018307156e-06
99,crossing_lights,-1.5835333005197873e-06
100,Goodman_Group,-1.59416209739166e-06
101,amazon,-1.5941621998444284e-06
